Preditcted_Index,Preditcted_Failure,Preditcted_Affected_Component_Uid,"	Preditcted_Affected_Component","	Preditcted_Utility_Drop","	Preditcted_Rule",Preditcted_Utility_Increase,CycleID,CycleSize,Optimal_Index ,Optimal_Failure,Optimal_Affected_Component_Uid,Optimal_Affected_Component,Optimal_Utility_Drop,Optimal_Rule,Optimal_Utility_Increase,CycleID,CycleSize
4,CF5,_SExYMecdEeet0YmmfbMwkw,Authentication Service,90.16411535,AddReplica,133.5107269,2.1,9,4,CF5,_SExYMecdEeet0YmmfbMwkw,Authentication Service,90.16411535,AddReplica,132.1380862,2.1,9
5,CF5,_SEymC-cdEeet0YmmfbMwkw,Authentication Service,99.63875637,AddReplica,133.5107269,2.1,9,5,CF5,_SEymC-cdEeet0YmmfbMwkw,Authentication Service,99.63875637,AddReplica,132.1380862,2.1,9
6,CF3,_SExXkecdEeet0YmmfbMwkw,Authentication Service,151.9422892,ReplaceComponent,160.4672852,2.1,9,6,CF3,_SEu7iucdEeet0YmmfbMwkw,Authentication Service,151.9422892,ReplaceComponent,175.1805217,2.1,9
7,CF3,_SEwJrOcdEeet0YmmfbMwkw,Authentication Service,151.9422892,ReplaceComponent,160.3292084,2.1,9,7,CF3,_SEwJrOcdEeet0YmmfbMwkw,Authentication Service,151.9422892,ReplaceComponent,175.1805217,2.1,9
8,CF3,_SEx_HucdEeet0YmmfbMwkw,Authentication Service,151.9422892,ReplaceComponent,159.6485138,2.1,9,8,CF3,_SExXkecdEeet0YmmfbMwkw,Authentication Service,151.9422892,ReplaceComponent,175.1805217,2.1,9
9,CF3,_SEu7iucdEeet0YmmfbMwkw,Authentication Service,151.9422892,ReplaceComponent,157.9112091,2.1,9,9,CF3,_SEx_HucdEeet0YmmfbMwkw,Authentication Service,151.9422892,ReplaceComponent,175.1805217,2.1,9
1,CF2,_SEviuOcdEeet0YmmfbMwkw,Persistence Service,309.3528779,RestartComponent,303.2940063,3.1,12,1,CF2,_SEviuOcdEeet0YmmfbMwkw,Persistence Service,309.3528779,RestartComponent,309.3528779,3.1,12
2,CF5,_SEu7n-cdEeet0YmmfbMwkw,Persistence Service,104.3900005,AddReplica,207.1923981,3.1,12,2,CF5,_SEu7n-cdEeet0YmmfbMwkw,Persistence Service,104.3900005,AddReplica,204.8701926,3.1,12
3,CF2,_SEviyecdEeet0YmmfbMwkw,Buy Now Item Filter,129.7531016,RestartComponent,133.945694,3.1,12,3,CF2,_SEviyecdEeet0YmmfbMwkw,Buy Now Item Filter,129.7531016,RestartComponent,129.7531016,3.1,12
4,CF2,_SEvi0-cdEeet0YmmfbMwkw,Region Item Filter,103.0166319,RestartComponent,102.1155396,3.1,12,4,CF2,_SEvi0-cdEeet0YmmfbMwkw,Region Item Filter,103.0166319,RestartComponent,103.0166319,3.1,12
5,CF2,_SEvivucdEeet0YmmfbMwkw,Last Second Sales Item Filter,96.67425092,RestartComponent,94.08683014,3.1,12,5,CF2,_SEvivucdEeet0YmmfbMwkw,Last Second Sales Item Filter,96.67425092,RestartComponent,96.67425092,3.1,12
6,CF2,_SEvi3ucdEeet0YmmfbMwkw,Comment Item Filter,94.41692189,RestartComponent,92.80956268,3.1,12,6,CF2,_SEvi3ucdEeet0YmmfbMwkw,Comment Item Filter,94.41692189,RestartComponent,94.41692189,3.1,12
7,CF5,_SEu7sOcdEeet0YmmfbMwkw,Buy Now Item Filter,53.42382502,AddReplica,107.7168655,3.1,12,7,CF5,_SEu7sOcdEeet0YmmfbMwkw,Buy Now Item Filter,53.42382502,AddReplica,111.1947309,3.1,12
8,CF5,_SEu7xecdEeet0YmmfbMwkw,Comment Item Filter,25.4278798,AddReplica,82.10028076,3.1,12,8,CF5,_SEu7xecdEeet0YmmfbMwkw,Comment Item Filter,25.4278798,AddReplica,82.43841662,3.1,12
9,CF5,_SEu7uucdEeet0YmmfbMwkw,Region Item Filter,6.321000191,AddReplica,80.64434814,3.1,12,9,CF5,_SEu7uucdEeet0YmmfbMwkw,Region Item Filter,6.321000191,AddReplica,81.91708472,3.1,12
10,CF5,_SEu7pecdEeet0YmmfbMwkw,Last Second Sales Item Filter,62.43310583,AddReplica,80.07095337,3.1,12,10,CF5,_SEu7pecdEeet0YmmfbMwkw,Last Second Sales Item Filter,62.43310583,AddReplica,73.6380925,3.1,12
11,CF3,_SE4FQucdEeet0YmmfbMwkw,Authentication Service,151.9422892,ReplaceComponent,157.9112091,3.1,12,11,CF3,_SE4FQucdEeet0YmmfbMwkw,Authentication Service,151.9422892,ReplaceComponent,175.1805217,3.1,12
12,CF3,_SE4F4ucdEeet0YmmfbMwkw,Authentication Service,151.9422892,ReplaceComponent,157.9112091,3.1,12,12,CF3,_SE4F4ucdEeet0YmmfbMwkw,Authentication Service,151.9422892,ReplaceComponent,175.1805217,3.1,12
1,CF2,_SEwJwecdEeet0YmmfbMwkw,Persistence Service,257.7940649,RestartComponent,258.7350159,4.1,8,1,CF2,_SEwJwecdEeet0YmmfbMwkw,Persistence Service,257.7940649,RestartComponent,257.7940649,4.1,8
2,CF2,_SEwws-cdEeet0YmmfbMwkw,Reputation Service,224.4356896,RestartComponent,223.4114075,4.1,8,2,CF2,_SEwws-cdEeet0YmmfbMwkw,Reputation Service,224.4356896,RestartComponent,224.4356896,4.1,8
3,CF2,_SEwJr-cdEeet0YmmfbMwkw,Bid and Buy Service,192.0054015,RestartComponent,192.4852905,4.1,8,3,CF2,_SEwJr-cdEeet0YmmfbMwkw,Bid and Buy Service,192.0054015,RestartComponent,192.0054015,4.1,8
4,CF2,_SEwwyucdEeet0YmmfbMwkw,Buy Now Item Filter,129.7531016,RestartComponent,133.945694,4.1,8,4,CF2,_SEwwyucdEeet0YmmfbMwkw,Buy Now Item Filter,129.7531016,RestartComponent,129.7531016,4.1,8
5,CF2,_SEwJpecdEeet0YmmfbMwkw,Item Management Service,119.1233033,RestartComponent,119.306221,4.1,8,5,CF2,_SEwJpecdEeet0YmmfbMwkw,Item Management Service,119.1233033,RestartComponent,119.1233033,4.1,8
6,CF2,_SEwwnecdEeet0YmmfbMwkw,Item Management Service,119.1233033,RestartComponent,119.306221,4.1,8,6,CF2,_SEwwnecdEeet0YmmfbMwkw,Item Management Service,119.1233033,RestartComponent,119.1233033,4.1,8
7,CF2,_SEu7tecdEeet0YmmfbMwkw,Availability Item Filter,45.10303805,RestartComponent,45.86231232,4.1,8,7,CF2,_SEu7tecdEeet0YmmfbMwkw,Availability Item Filter,45.10303805,RestartComponent,45.10303805,4.1,8
8,CF2,_SEwwpOcdEeet0YmmfbMwkw,Authentication Service,132.1380862,ReplaceComponent,143.125824,4.1,8,8,CF2,_SEwwpOcdEeet0YmmfbMwkw,Authentication Service,132.1380862,ReplaceComponent,152.3474405,4.1,8
1,CF5,_SEz0QOcdEeet0YmmfbMwkw,Item Management Service,18.6306528,AddReplica,95.69760895,5.1,3,1,CF5,_SEz0QOcdEeet0YmmfbMwkw,Item Management Service,18.6306528,AddReplica,96.46300559,5.1,3
2,CF3,_SEzM_ucdEeet0YmmfbMwkw,Authentication Service,151.9422892,ReplaceComponent,160.4672852,5.1,3,2,CF3,_SEzM_ucdEeet0YmmfbMwkw,Authentication Service,151.9422892,ReplaceComponent,175.1805217,5.1,3
3,CF3,_SEz0YucdEeet0YmmfbMwkw,Last Second Sales Item Filter,96.67425092,HwRedeployComponent,93.70024872,5.1,3,3,CF3,_SEz0YucdEeet0YmmfbMwkw,Last Second Sales Item Filter,96.67425092,HwRedeployComponent,96.67425092,5.1,3
1,CF5,_SExXpucdEeet0YmmfbMwkw,Persistence Service,10.54007319,AddReplica,207.1923981,6.1,7,1,CF5,_SExXpucdEeet0YmmfbMwkw,Persistence Service,10.54007319,AddReplica,204.8701926,6.1,7
2,CF1,_SE23vucdEeet0YmmfbMwkw,Seller Reputation Item Filter,142.3709478,RestartComponent,139.7336884,6.1,7,2,CF1,_SE23vucdEeet0YmmfbMwkw,Seller Reputation Item Filter,142.3709478,RestartComponent,142.3709478,6.1,7
3,CF5,_SE23mOcdEeet0YmmfbMwkw,Reputation Service,134.7986553,AddReplica,198.7075348,6.1,7,3,CF5,_SE23mOcdEeet0YmmfbMwkw,Reputation Service,134.7986553,AddReplica,194.6543182,6.1,7
4,CF1,_SE23gucdEeet0YmmfbMwkw,Item Management Service,119.1233033,RestartComponent,119.4919205,6.1,7,4,CF1,_SExXiucdEeet0YmmfbMwkw,Item Management Service,119.1233033,RestartComponent,119.1233033,6.1,7
5,CF1,_SExXiucdEeet0YmmfbMwkw,Item Management Service,119.1233033,RestartComponent,118.805603,6.1,7,5,CF1,_SE23gucdEeet0YmmfbMwkw,Item Management Service,119.1233033,RestartComponent,119.1233033,6.1,7
6,CF5,_SExYKucdEeet0YmmfbMwkw,Item Management Service,48.08613133,AddReplica,95.69760895,6.1,7,6,CF5,_SExYKucdEeet0YmmfbMwkw,Item Management Service,48.08613133,AddReplica,96.46300559,6.1,7
7,CF5,_SExXzOcdEeet0YmmfbMwkw,Comment Item Filter,65.87883355,AddReplica,82.10028076,6.1,7,7,CF5,_SExXzOcdEeet0YmmfbMwkw,Comment Item Filter,65.87883355,AddReplica,82.43841662,6.1,7
1,CF2,_SEx-lecdEeet0YmmfbMwkw,Query Service,638.4602918,RestartComponent,635.335022,7.1,16,1,CF2,_SEx-lecdEeet0YmmfbMwkw,Query Service,638.4602918,RestartComponent,638.4602918,7.1,16
2,CF2,_SEymIucdEeet0YmmfbMwkw,Query Service,638.4602918,RestartComponent,634.9872437,7.1,16,2,CF2,_SEymIucdEeet0YmmfbMwkw,Query Service,638.4602918,RestartComponent,638.4602918,7.1,16
3,CF1,_SEymDucdEeet0YmmfbMwkw,Bid and Buy Service,192.0054015,RestartComponent,192.4852905,7.1,16,3,CF1,_SExYNOcdEeet0YmmfbMwkw,Bid and Buy Service,192.0054015,RestartComponent,192.0054015,7.1,16
4,CF1,_SExYNOcdEeet0YmmfbMwkw,Bid and Buy Service,192.0054015,RestartComponent,192.1867523,7.1,16,4,CF1,_SEymDucdEeet0YmmfbMwkw,Bid and Buy Service,192.0054015,RestartComponent,192.0054015,7.1,16
5,CF1,_SEx_KecdEeet0YmmfbMwkw,Inventory Service,176.5041474,RestartComponent,177.0890961,7.1,16,5,CF1,_SEx_KecdEeet0YmmfbMwkw,Inventory Service,176.5041474,RestartComponent,176.5041474,7.1,16
6,CF1,_SEzNCecdEeet0YmmfbMwkw,Inventory Service,176.5041474,RestartComponent,176.7621155,7.1,16,6,CF1,_SEzNCecdEeet0YmmfbMwkw,Inventory Service,176.5041474,RestartComponent,176.5041474,7.1,16
7,CF2,_SEzM9-cdEeet0YmmfbMwkw,Item Management Service,119.1233033,RestartComponent,119.6928024,7.1,16,7,CF2,_SEx_F-cdEeet0YmmfbMwkw,Item Management Service,119.1233033,RestartComponent,119.1233033,7.1,16
8,CF2,_SEx_F-cdEeet0YmmfbMwkw,Item Management Service,119.1233033,RestartComponent,119.306221,7.1,16,8,CF2,_SEymBOcdEeet0YmmfbMwkw,Item Management Service,119.1233033,RestartComponent,119.1233033,7.1,16
9,CF2,_SEymBOcdEeet0YmmfbMwkw,Item Management Service,119.1233033,RestartComponent,118.7711487,7.1,16,9,CF2,_SEzM9-cdEeet0YmmfbMwkw,Item Management Service,119.1233033,RestartComponent,119.1233033,7.1,16
10,CF2,_SExYKucdEeet0YmmfbMwkw,Item Management Service,96.46300559,RestartComponent,98.50447083,7.1,16,10,CF2,_SEx_OecdEeet0YmmfbMwkw,Last Second Sales Item Filter,96.67425092,RestartComponent,96.67425092,7.1,16
11,CF2,_SEx_OecdEeet0YmmfbMwkw,Last Second Sales Item Filter,96.67425092,RestartComponent,93.70024872,7.1,16,11,CF2,_SEzzwucdEeet0YmmfbMwkw,Last Second Sales Item Filter,96.67425092,RestartComponent,96.67425092,7.1,16
12,CF2,_SEzzwucdEeet0YmmfbMwkw,Last Second Sales Item Filter,96.67425092,RestartComponent,93.70024872,7.1,16,12,CF2,_SExYKucdEeet0YmmfbMwkw,Item Management Service,96.46300559,RestartComponent,96.46300559,7.1,16
13,CF2,_SEymRucdEeet0YmmfbMwkw,Comment Item Filter,94.41692189,RestartComponent,92.94788361,7.1,16,13,CF2,_SEx-uecdEeet0YmmfbMwkw,Comment Item Filter,94.41692189,RestartComponent,94.41692189,7.1,16
14,CF2,_SEx-uecdEeet0YmmfbMwkw,Comment Item Filter,94.41692189,RestartComponent,92.80956268,7.1,16,14,CF2,_SEymRucdEeet0YmmfbMwkw,Comment Item Filter,94.41692189,RestartComponent,94.41692189,7.1,16
15,CF2,_SEylrOcdEeet0YmmfbMwkw,Category Item Filter,60.33906335,RestartComponent,60.84074783,7.1,16,15,CF2,_SEylrOcdEeet0YmmfbMwkw,Category Item Filter,60.33906335,RestartComponent,60.33906335,7.1,16
16,CF2,_SEzz6OcdEeet0YmmfbMwkw,Category Item Filter,60.33906335,RestartComponent,60.84074783,7.1,16,16,CF2,_SEzz6OcdEeet0YmmfbMwkw,Category Item Filter,60.33906335,RestartComponent,60.33906335,7.1,16
1,CF5,_SEu7n-cdEeet0YmmfbMwkw,Persistence Service,204.8701926,AddReplica,211.7059937,8.1,7,1,CF5,_SEu7n-cdEeet0YmmfbMwkw,Persistence Service,204.8701926,AddReplica,206.7816526,8.1,7
2,CF1,_SEuUd-cdEeet0YmmfbMwkw,Seller Reputation Item Filter,142.3709478,RestartComponent,139.7336884,8.1,7,2,CF1,_SEuUd-cdEeet0YmmfbMwkw,Seller Reputation Item Filter,142.3709478,RestartComponent,142.3709478,8.1,7
3,CF5,_SE23mOcdEeet0YmmfbMwkw,Reputation Service,194.6543182,AddReplica,199.534668,8.1,7,3,CF5,_SE23mOcdEeet0YmmfbMwkw,Reputation Service,194.6543182,AddReplica,196.4405444,8.1,7
4,CF1,_SE23gucdEeet0YmmfbMwkw,Item Management Service,119.1233033,RestartComponent,119.4919205,8.1,7,4,CF1,_SE23gucdEeet0YmmfbMwkw,Item Management Service,119.1233033,RestartComponent,119.1233033,8.1,7
5,CF1,_SEz0QOcdEeet0YmmfbMwkw,Item Management Service,96.46300559,RestartComponent,98.50447083,8.1,7,5,CF1,_SEz0QOcdEeet0YmmfbMwkw,Item Management Service,96.46300559,RestartComponent,96.46300559,8.1,7
6,CF5,_SE23vucdEeet0YmmfbMwkw,Seller Reputation Item Filter,7.070501889,AddReplica,109.3945236,8.1,7,6,CF5,_SE23vucdEeet0YmmfbMwkw,Seller Reputation Item Filter,7.070501889,AddReplica,107.0603777,8.1,7
7,CF5,_SEvinOcdEeet0YmmfbMwkw,Item Management Service,5.363464447,AddReplica,95.69760895,8.1,7,7,CF5,_SEvinOcdEeet0YmmfbMwkw,Item Management Service,5.363464447,AddReplica,96.46300559,8.1,7
1,CF1,_SEzNFecdEeet0YmmfbMwkw,Query Service,696.5021365,RestartComponent,716.1217651,9.1,6,1,CF1,_SEzNFecdEeet0YmmfbMwkw,Query Service,696.5021365,RestartComponent,696.5021365,9.1,6
2,CF1,_SEzz3OcdEeet0YmmfbMwkw,Seller Reputation Item Filter,142.3709478,RestartComponent,139.7336884,9.1,6,2,CF1,_SEzz3OcdEeet0YmmfbMwkw,Seller Reputation Item Filter,142.3709478,RestartComponent,142.3709478,9.1,6
3,CF2,_SEuUaOcdEeet0YmmfbMwkw,Buy Now Item Filter,129.7531016,RestartComponent,133.945694,9.1,6,3,CF2,_SEuUaOcdEeet0YmmfbMwkw,Buy Now Item Filter,129.7531016,RestartComponent,129.7531016,9.1,6
4,CF2,_SEz0QOcdEeet0YmmfbMwkw,Item Management Service,96.46300559,RestartComponent,98.50447083,9.1,6,4,CF2,_SEz0QOcdEeet0YmmfbMwkw,Item Management Service,96.46300559,RestartComponent,96.46300559,9.1,6
5,CF5,_SEuUcucdEeet0YmmfbMwkw,Region Item Filter,59.25930156,AddReplica,80.64434814,9.1,6,5,CF5,_SEuUcucdEeet0YmmfbMwkw,Region Item Filter,59.25930156,AddReplica,81.91708472,9.1,6
6,CF2,_SEz0cucdEeet0YmmfbMwkw,Availability Item Filter,45.10303805,RestartComponent,45.86231232,9.1,6,6,CF2,_SEz0cucdEeet0YmmfbMwkw,Availability Item Filter,45.10303805,RestartComponent,45.10303805,9.1,6
1,CF5,_SE0bNecdEeet0YmmfbMwkw,Authentication Service,86.73472883,AddReplica,133.5107269,10.1,3,1,CF5,_SE0bNecdEeet0YmmfbMwkw,Authentication Service,86.73472883,AddReplica,132.1380862,10.1,3
2,CF5,_SE1CkucdEeet0YmmfbMwkw,Authentication Service,79.4675971,AddReplica,133.5107269,10.1,3,2,CF5,_SE1CkucdEeet0YmmfbMwkw,Authentication Service,79.4675971,AddReplica,132.1380862,10.1,3
3,CF3,_SE1B8ucdEeet0YmmfbMwkw,Authentication Service,151.9422892,ReplaceComponent,157.9112091,10.1,3,3,CF3,_SE1B8ucdEeet0YmmfbMwkw,Authentication Service,151.9422892,ReplaceComponent,175.1805217,10.1,3
1,CF5,_SE3ehucdEeet0YmmfbMwkw,Query Service,292.3633804,AddReplica,529.6270752,11.1,9,1,CF5,_SE2Qd-cdEeet0YmmfbMwkw,Query Service,371.7643321,AddReplica,498.2634396,11.1,9
2,CF5,_SE2Qd-cdEeet0YmmfbMwkw,Query Service,371.7643321,AddReplica,528.6084595,11.1,9,2,CF5,_SE23oOcdEeet0YmmfbMwkw,Query Service,371.7643321,AddReplica,498.2634396,11.1,9
3,CF5,_SE23oOcdEeet0YmmfbMwkw,Query Service,371.7643321,AddReplica,528.6084595,11.1,9,3,CF5,_SE3ehucdEeet0YmmfbMwkw,Query Service,292.3633804,AddReplica,498.2634396,11.1,9
4,CF3,_SE3epOcdEeet0YmmfbMwkw,Seller Reputation Item Filter,142.3709478,HwRedeployComponent,140.0516968,11.1,9,4,CF3,_SE23HucdEeet0YmmfbMwkw,Seller Reputation Item Filter,142.3709478,HwRedeployComponent,142.3709478,11.1,9
5,CF3,_SE23HucdEeet0YmmfbMwkw,Seller Reputation Item Filter,142.3709478,HwRedeployComponent,139.7336884,11.1,9,5,CF3,_SE3epOcdEeet0YmmfbMwkw,Seller Reputation Item Filter,142.3709478,HwRedeployComponent,142.3709478,11.1,9
6,CF3,_SE23gucdEeet0YmmfbMwkw,Item Management Service,119.1233033,HwRedeployComponent,119.4919205,11.1,9,6,CF3,_SE2QWecdEeet0YmmfbMwkw,Item Management Service,119.1233033,HwRedeployComponent,119.1233033,11.1,9
7,CF3,_SE2QWecdEeet0YmmfbMwkw,Item Management Service,119.1233033,HwRedeployComponent,119.306221,11.1,9,7,CF3,_SE23gucdEeet0YmmfbMwkw,Item Management Service,119.1233033,HwRedeployComponent,119.1233033,11.1,9
8,CF3,_SE3eaOcdEeet0YmmfbMwkw,Item Management Service,119.1233033,HwRedeployComponent,119.306221,11.1,9,8,CF3,_SE3eaOcdEeet0YmmfbMwkw,Item Management Service,119.1233033,HwRedeployComponent,119.1233033,11.1,9
9,CF3,_SE23vucdEeet0YmmfbMwkw,Seller Reputation Item Filter,107.0603777,HwRedeployComponent,113.4174728,11.1,9,9,CF3,_SE23vucdEeet0YmmfbMwkw,Seller Reputation Item Filter,107.0603777,HwRedeployComponent,107.0603777,11.1,9
1,CF2,_SE4FWecdEeet0YmmfbMwkw,Query Service,696.5021365,RestartComponent,717.7565308,12.1,12,1,CF2,_SE4FWecdEeet0YmmfbMwkw,Query Service,696.5021365,RestartComponent,696.5021365,12.1,12
2,CF1,_SE3ehOcdEeet0YmmfbMwkw,Persistence Service,309.3528779,RestartComponent,303.0455017,12.1,12,2,CF1,_SE3ehOcdEeet0YmmfbMwkw,Persistence Service,309.3528779,RestartComponent,309.3528779,12.1,12
3,CF2,_SE4FUecdEeet0YmmfbMwkw,Reputation Service,224.4356896,RestartComponent,223.024826,12.1,12,3,CF2,_SE4FUecdEeet0YmmfbMwkw,Reputation Service,224.4356896,RestartComponent,224.4356896,12.1,12
4,CF2,_SE4F5ecdEeet0YmmfbMwkw,Bid and Buy Service,192.0054015,RestartComponent,192.4852905,12.1,12,4,CF2,_SE4F5ecdEeet0YmmfbMwkw,Bid and Buy Service,192.0054015,RestartComponent,192.0054015,12.1,12
5,CF2,_SE1B9ecdEeet0YmmfbMwkw,Bid and Buy Service,192.0054015,RestartComponent,192.4852905,12.1,12,5,CF2,_SE1B9ecdEeet0YmmfbMwkw,Bid and Buy Service,192.0054015,RestartComponent,192.0054015,12.1,12
6,CF1,_SE23lOcdEeet0YmmfbMwkw,Inventory Service,176.5041474,RestartComponent,176.7470856,12.1,12,6,CF1,_SE23lOcdEeet0YmmfbMwkw,Inventory Service,176.5041474,RestartComponent,176.5041474,12.1,12
7,CF2,_SE3equcdEeet0YmmfbMwkw,Comment Item Filter,141.6253828,RestartComponent,144.7974396,12.1,12,7,CF2,_SEyloOcdEeet0YmmfbMwkw,Seller Reputation Item Filter,142.3709478,RestartComponent,142.3709478,12.1,12
8,CF2,_SEyloOcdEeet0YmmfbMwkw,Seller Reputation Item Filter,142.3709478,RestartComponent,140.1202698,12.1,12,8,CF2,_SE3equcdEeet0YmmfbMwkw,Comment Item Filter,141.6253828,RestartComponent,141.6253828,12.1,12
9,CF2,_SEx-pOcdEeet0YmmfbMwkw,Buy Now Item Filter,129.7531016,RestartComponent,133.7455902,12.1,12,9,CF2,_SEx-pOcdEeet0YmmfbMwkw,Buy Now Item Filter,129.7531016,RestartComponent,129.7531016,12.1,12
10,CF5,_SE23iecdEeet0YmmfbMwkw,Authentication Service,6.22338881,AddReplica,158.453537,12.1,12,10,CF5,_SE23iecdEeet0YmmfbMwkw,Authentication Service,6.22338881,AddReplica,158.5657034,12.1,12
11,CF2,_SExYKucdEeet0YmmfbMwkw,Item Management Service,96.46300559,RestartComponent,98.50447083,12.1,12,11,CF1,_SE3eiucdEeet0YmmfbMwkw,Last Second Sales Item Filter,96.67425092,RestartComponent,96.67425092,12.1,12
12,CF1,_SE3eiucdEeet0YmmfbMwkw,Last Second Sales Item Filter,96.67425092,RestartComponent,93.14013672,12.1,12,12,CF2,_SExYKucdEeet0YmmfbMwkw,Item Management Service,96.46300559,RestartComponent,96.46300559,12.1,12
1,CF5,_SE4sz-cdEeet0YmmfbMwkw,Persistence Service,179.3684443,AddReplica,209.4334259,13.1,8,1,CF5,_SE4sz-cdEeet0YmmfbMwkw,Persistence Service,179.3684443,AddReplica,204.8701926,13.1,8
2,CF5,_SE5TtucdEeet0YmmfbMwkw,Persistence Service,90.8453876,AddReplica,207.1923981,13.1,8,2,CF5,_SE5TtucdEeet0YmmfbMwkw,Persistence Service,90.8453876,AddReplica,204.8701926,13.1,8
3,CF2,_SE56w-cdEeet0YmmfbMwkw,Seller Reputation Item Filter,142.3709478,RestartComponent,140.1908875,13.1,8,3,CF2,_SE56w-cdEeet0YmmfbMwkw,Seller Reputation Item Filter,142.3709478,RestartComponent,142.3709478,13.1,8
4,CF1,_SE4GA-cdEeet0YmmfbMwkw,Past Sales Item Filter,96.96008424,RestartComponent,96.60194397,13.1,8,4,CF1,_SE4GA-cdEeet0YmmfbMwkw,Past Sales Item Filter,96.96008424,RestartComponent,96.96008424,13.1,8
5,CF2,_SE4s9ecdEeet0YmmfbMwkw,Comment Item Filter,94.41692189,RestartComponent,92.94788361,13.1,8,5,CF2,_SE4sVecdEeet0YmmfbMwkw,Comment Item Filter,94.41692189,RestartComponent,94.41692189,13.1,8
6,CF2,_SE4sVecdEeet0YmmfbMwkw,Comment Item Filter,94.41692189,RestartComponent,92.80956268,13.1,8,6,CF2,_SE4s9ecdEeet0YmmfbMwkw,Comment Item Filter,94.41692189,RestartComponent,94.41692189,13.1,8
7,CF2,_SE5T3OcdEeet0YmmfbMwkw,Comment Item Filter,94.41692189,RestartComponent,92.80956268,13.1,8,7,CF2,_SE5T3OcdEeet0YmmfbMwkw,Comment Item Filter,94.41692189,RestartComponent,94.41692189,13.1,8
8,CF5,_SE56qecdEeet0YmmfbMwkw,Last Second Sales Item Filter,49.93484709,AddReplica,78.50324249,13.1,8,8,CF5,_SE56qecdEeet0YmmfbMwkw,Last Second Sales Item Filter,49.93484709,AddReplica,73.6380925,13.1,8
1,CF2,_SE6hd-cdEeet0YmmfbMwkw,Seller Reputation Item Filter,142.3709478,RestartComponent,140.5119324,14.1,17,1,CF2,_SE6hd-cdEeet0YmmfbMwkw,Seller Reputation Item Filter,142.3709478,RestartComponent,142.3709478,14.1,17
2,CF2,_SE7wP-cdEeet0YmmfbMwkw,Seller Reputation Item Filter,142.3709478,RestartComponent,140.1202698,14.1,17,2,CF2,_SE6iF-cdEeet0YmmfbMwkw,Seller Reputation Item Filter,142.3709478,RestartComponent,142.3709478,14.1,17
3,CF2,_SE6iF-cdEeet0YmmfbMwkw,Seller Reputation Item Filter,142.3709478,RestartComponent,139.7336884,14.1,17,3,CF2,_SE7vn-cdEeet0YmmfbMwkw,Seller Reputation Item Filter,142.3709478,RestartComponent,142.3709478,14.1,17
