Preditcted_Index,Preditcted_Failure,Preditcted_Affected_Component_Uid,"	Preditcted_Affected_Component","	Preditcted_Utility_Drop","	Preditcted_Rule",Preditcted_Utility_Increase,CycleID,CycleSize,Preditcted_Index2,Preditcted_Failure3,Preditcted_Affected_Component_Uid4,"	Preditcted_Affected_Component5","	Preditcted_Utility_Drop6","	Preditcted_Rule7",Preditcted_Utility_Increase8,CycleID9,CycleSize10
2,CF3,_SE4F4ucdEeet0YmmfbMwkw,Authentication Service,607.5520949,HwRedeployComponent,607.5520949,3.2,12,2,CF3,_SE4F4ucdEeet0YmmfbMwkw,Authentication Service,607.5520949,ReplaceComponent,643.9520949,3.2,12
3,CF3,_SE4FQucdEeet0YmmfbMwkw,Authentication Service,556.4921859,ReplaceComponent,590.0921859,3.2,12,3,CF3,_SE4FQucdEeet0YmmfbMwkw,Authentication Service,556.4921859,ReplaceComponent,590.0921859,3.2,12
4,CF1,_SEu7pecdEeet0YmmfbMwkw,Last Second Sales Item Filter,287.9633935,RestartComponent,287.9633935,3.2,12,4,CF1,_SEu7pecdEeet0YmmfbMwkw,Last Second Sales Item Filter,287.9633935,RestartComponent,287.9633935,3.2,12
5,CF1,_SEu7n-cdEeet0YmmfbMwkw,Persistence Service,251.7905226,RestartComponent,251.7905226,3.2,12,5,CF1,_SEu7n-cdEeet0YmmfbMwkw,Persistence Service,251.7905226,RestartComponent,251.7905226,3.2,12
6,CF1,_SEu7sOcdEeet0YmmfbMwkw,Buy Now Item Filter,227.0712762,RestartComponent,227.0712762,3.2,12,6,CF1,_SEu7sOcdEeet0YmmfbMwkw,Buy Now Item Filter,227.0712762,RestartComponent,227.0712762,3.2,12
7,CF1,_SEu7xecdEeet0YmmfbMwkw,Comment Item Filter,199.4805486,RestartComponent,199.4805486,3.2,12,7,CF1,_SEu7xecdEeet0YmmfbMwkw,Comment Item Filter,199.4805486,RestartComponent,199.4805486,3.2,12
8,CF1,_SEu7uucdEeet0YmmfbMwkw,Region Item Filter,168.0792313,RestartComponent,168.0792313,3.2,12,8,CF1,_SEu7uucdEeet0YmmfbMwkw,Region Item Filter,168.0792313,RestartComponent,168.0792313,3.2,12
9,CF2,_SEvizucdEeet0YmmfbMwkw,Availability Item Filter,101.1170965,RestartComponent,101.1170965,3.2,12,9,CF2,_SEvizucdEeet0YmmfbMwkw,Availability Item Filter,101.1170965,RestartComponent,101.1170965,3.2,12
10,CF2,_SEvi2OcdEeet0YmmfbMwkw,Seller Reputation Item Filter,97.41934906,RestartComponent,97.41934906,3.2,12,10,CF2,_SEvi2OcdEeet0YmmfbMwkw,Seller Reputation Item Filter,97.41934906,RestartComponent,97.41934906,3.2,12
11,CF2,_SEvi5OcdEeet0YmmfbMwkw,Category Item Filter,58.55074861,RestartComponent,58.55074861,3.2,12,11,CF2,_SEvi5OcdEeet0YmmfbMwkw,Category Item Filter,58.55074861,RestartComponent,58.55074861,3.2,12
12,CF2,_SEvixOcdEeet0YmmfbMwkw,Past Sales Item Filter,56.24135119,RestartComponent,56.24135119,3.2,12,12,CF2,_SEvixOcdEeet0YmmfbMwkw,Past Sales Item Filter,56.24135119,RestartComponent,56.24135119,3.2,12
1,CF2,_SEu7tecdEeet0YmmfbMwkw,Availability Item Filter,226.1201415,RestartComponent,226.1201415,4.2,8,1,CF2,_SEu7tecdEeet0YmmfbMwkw,Availability Item Filter,226.1201415,RestartComponent,226.1201415,4.2,8
2,CF2,_SEwwp-cdEeet0YmmfbMwkw,Bid and Buy Service,106.4874582,RestartComponent,106.4874582,4.2,8,2,CF2,_SEwwp-cdEeet0YmmfbMwkw,Bid and Buy Service,106.4874582,RestartComponent,106.4874582,4.2,8
3,CF2,_SEwwnecdEeet0YmmfbMwkw,Item Management Service,66.73334914,RestartComponent,66.73334914,4.2,8,3,CF2,_SEwwnecdEeet0YmmfbMwkw,Item Management Service,66.73334914,RestartComponent,66.73334914,4.2,8
4,CF2,_SEwwuecdEeet0YmmfbMwkw,Persistence Service,58.32621604,RestartComponent,58.32621604,4.2,8,4,CF2,_SEwwuecdEeet0YmmfbMwkw,Persistence Service,58.32621604,RestartComponent,58.32621604,4.2,8
5,CF2,_SEwwz-cdEeet0YmmfbMwkw,Availability Item Filter,51.16399017,RestartComponent,51.16399017,4.2,8,5,CF2,_SEwwz-cdEeet0YmmfbMwkw,Availability Item Filter,51.16399017,RestartComponent,51.16399017,4.2,8
6,CF2,_SEwJr-cdEeet0YmmfbMwkw,Bid and Buy Service,17.7341225,RestartComponent,17.7341225,4.2,8,6,CF2,_SEwJr-cdEeet0YmmfbMwkw,Bid and Buy Service,17.7341225,RestartComponent,17.7341225,4.2,8
7,CF2,_SEwJwecdEeet0YmmfbMwkw,Persistence Service,6.774312313,RestartComponent,6.774312313,4.2,8,7,CF2,_SEwJpecdEeet0YmmfbMwkw,Item Management Service,7.768185507,RestartComponent,7.768185507,4.2,8
8,CF2,_SEwJpecdEeet0YmmfbMwkw,Item Management Service,7.768185507,RestartComponent,7.768185507,4.2,8,8,CF2,_SEwJwecdEeet0YmmfbMwkw,Persistence Service,6.774312313,RestartComponent,6.774312313,4.2,8
1,CF1,_SEz0QOcdEeet0YmmfbMwkw,Item Management Service,48.51166737,RestartComponent,48.51166737,5.2,3,1,CF1,_SEz0QOcdEeet0YmmfbMwkw,Item Management Service,48.51166737,RestartComponent,48.51166737,5.2,3
2,CF3,_SEzM_ucdEeet0YmmfbMwkw,Authentication Service,35.58187697,ReplaceComponent,38.38187697,5.2,3,2,CF3,_SEz0YucdEeet0YmmfbMwkw,Last Second Sales Item Filter,45.80933052,HwRedeployComponent,45.80933052,5.2,3
3,CF3,_SEz0YucdEeet0YmmfbMwkw,Last Second Sales Item Filter,45.80933052,HwRedeployComponent,45.80933052,5.2,3,3,CF3,_SEzM_ucdEeet0YmmfbMwkw,Authentication Service,35.58187697,ReplaceComponent,38.38187697,5.2,3
1,CF1,_SE23mOcdEeet0YmmfbMwkw,Reputation Service,69.69989361,RestartComponent,69.69989361,6.2,7,1,CF1,_SE23mOcdEeet0YmmfbMwkw,Reputation Service,69.69989361,RestartComponent,69.69989361,6.2,7
2,CF1,_SE23gucdEeet0YmmfbMwkw,Item Management Service,65.3237349,RestartComponent,65.3237349,6.2,7,2,CF1,_SE23gucdEeet0YmmfbMwkw,Item Management Service,65.3237349,RestartComponent,65.3237349,6.2,7
3,CF1,_SE23vucdEeet0YmmfbMwkw,Seller Reputation Item Filter,49.93589974,RestartComponent,49.93589974,6.2,7,3,CF1,_SE23vucdEeet0YmmfbMwkw,Seller Reputation Item Filter,49.93589974,RestartComponent,49.93589974,6.2,7
4,CF1,_SExYKucdEeet0YmmfbMwkw,Item Management Service,45.17630238,RestartComponent,45.17630238,6.2,7,4,CF1,_SExYKucdEeet0YmmfbMwkw,Item Management Service,45.17630238,RestartComponent,45.17630238,6.2,7
5,CF1,_SExXpucdEeet0YmmfbMwkw,Persistence Service,5.287448106,RestartComponent,5.287448106,6.2,7,5,CF1,_SExXiucdEeet0YmmfbMwkw,Item Management Service,7.272244248,RestartComponent,7.272244248,6.2,7
6,CF1,_SExXiucdEeet0YmmfbMwkw,Item Management Service,7.272244248,RestartComponent,7.272244248,6.2,7,6,CF1,_SExXpucdEeet0YmmfbMwkw,Persistence Service,5.287448106,RestartComponent,5.287448106,6.2,7
7,CF1,_SExXzOcdEeet0YmmfbMwkw,Comment Item Filter,3.07796863,RestartComponent,3.07796863,6.2,7,7,CF1,_SExXzOcdEeet0YmmfbMwkw,Comment Item Filter,3.07796863,RestartComponent,3.07796863,6.2,7
1,CF3,_SEu7jecdEeet0YmmfbMwkw,Bid and Buy Service,437.4540423,HwRedeployComponent,437.4540423,7.2,16,1,CF3,_SEu7jecdEeet0YmmfbMwkw,Bid and Buy Service,437.4540423,HwRedeployComponent,437.4540423,7.2,16
2,CF3,_SE7Io-cdEeet0YmmfbMwkw,Bid and Buy Service,378.6002514,HwRedeployComponent,378.6002514,7.2,16,2,CF3,_SE7Io-cdEeet0YmmfbMwkw,Bid and Buy Service,378.6002514,HwRedeployComponent,378.6002514,7.2,16
3,CF1,_SE57PecdEeet0YmmfbMwkw,Reputation Service,269.6578243,RestartComponent,269.6578243,7.2,16,3,CF1,_SE57PecdEeet0YmmfbMwkw,Reputation Service,269.6578243,RestartComponent,269.6578243,7.2,16
4,CF1,_SE1B6-cdEeet0YmmfbMwkw,Item Management Service,208.7798043,RestartComponent,208.7798043,7.2,16,4,CF1,_SE1B6-cdEeet0YmmfbMwkw,Item Management Service,208.7798043,RestartComponent,208.7798043,7.2,16
5,CF1,_SEz0R-cdEeet0YmmfbMwkw,Authentication Service,132.2093261,ReplaceComponent,140.6093261,7.2,16,5,CF1,_SEz0R-cdEeet0YmmfbMwkw,Authentication Service,132.2093261,ReplaceComponent,140.6093261,7.2,16
6,CF2,_SE3efucdEeet0YmmfbMwkw,Reputation Service,128.5624902,RestartComponent,128.5624902,7.2,16,6,CF2,_SE3efucdEeet0YmmfbMwkw,Reputation Service,128.5624902,RestartComponent,128.5624902,7.2,16
7,CF2,_SE-zTOcdEeet0YmmfbMwkw,Availability Item Filter,116.3946769,RestartComponent,116.3946769,7.2,16,7,CF2,_SE-zTOcdEeet0YmmfbMwkw,Availability Item Filter,116.3946769,RestartComponent,116.3946769,7.2,16
8,CF2,_SE56uecdEeet0YmmfbMwkw,Availability Item Filter,115.752284,RestartComponent,115.752284,7.2,16,8,CF2,_SE56uecdEeet0YmmfbMwkw,Availability Item Filter,115.752284,RestartComponent,115.752284,7.2,16
9,CF3,_SE-MhecdEeet0YmmfbMwkw,Bid and Buy Service,109.4517581,HwRedeployComponent,109.4517581,7.2,16,9,CF3,_SE-MhecdEeet0YmmfbMwkw,Bid and Buy Service,109.4517581,HwRedeployComponent,109.4517581,7.2,16
10,CF3,_SFLBz-cdEeet0YmmfbMwkw,Past Sales Item Filter,66.9836747,HwRedeployComponent,66.9836747,7.2,16,10,CF1,_SE5TmucdEeet0YmmfbMwkw,Item Management Service,67.38046741,RestartComponent,67.38046741,7.2,16
11,CF1,_SE5TmucdEeet0YmmfbMwkw,Item Management Service,67.38046741,RestartComponent,67.38046741,7.2,16,11,CF3,_SFLBz-cdEeet0YmmfbMwkw,Past Sales Item Filter,66.9836747,HwRedeployComponent,66.9836747,7.2,16
12,CF1,_SE23gucdEeet0YmmfbMwkw,Item Management Service,65.3237349,RestartComponent,65.3237349,7.2,16,12,CF1,_SE23gucdEeet0YmmfbMwkw,Item Management Service,65.3237349,RestartComponent,65.3237349,7.2,16
13,CF3,_SExYKucdEeet0YmmfbMwkw,Item Management Service,45.17630238,HwRedeployComponent,45.17630238,7.2,16,13,CF1,_SFETJ-cdEeet0YmmfbMwkw,Past Sales Item Filter,46.36101205,RestartComponent,46.36101205,7.2,16
14,CF1,_SFETJ-cdEeet0YmmfbMwkw,Past Sales Item Filter,46.36101205,RestartComponent,46.36101205,7.2,16,14,CF3,_SExYKucdEeet0YmmfbMwkw,Item Management Service,45.17630238,HwRedeployComponent,45.17630238,7.2,16
15,CF1,_SEx-rucdEeet0YmmfbMwkw,Region Item Filter,25.49259675,RestartComponent,25.49259675,7.2,16,15,CF1,_SEx-rucdEeet0YmmfbMwkw,Region Item Filter,25.49259675,RestartComponent,25.49259675,7.2,16
16,CF1,_SEwJt-cdEeet0YmmfbMwkw,Inventory Service,12.08755687,RestartComponent,12.08755687,7.2,16,16,CF1,_SEwJt-cdEeet0YmmfbMwkw,Inventory Service,12.08755687,RestartComponent,12.08755687,7.2,16
1,CF1,_SEu7oecdEeet0YmmfbMwkw,Query Service,1743.854358,RestartComponent,1743.854358,8.2,7,1,CF1,_SEu7oecdEeet0YmmfbMwkw,Query Service,1743.854358,RestartComponent,1743.854358,8.2,7
2,CF1,_SEvinOcdEeet0YmmfbMwkw,Item Management Service,129.2850671,RestartComponent,129.2850671,8.2,7,2,CF1,_SEvinOcdEeet0YmmfbMwkw,Item Management Service,129.2850671,RestartComponent,129.2850671,8.2,7
3,CF1,_SEuUfecdEeet0YmmfbMwkw,Comment Item Filter,83.63963054,RestartComponent,83.63963054,8.2,7,3,CF1,_SEuUfecdEeet0YmmfbMwkw,Comment Item Filter,83.63963054,RestartComponent,83.63963054,8.2,7
4,CF1,_SE23mOcdEeet0YmmfbMwkw,Reputation Service,69.69989361,RestartComponent,69.69989361,8.2,7,4,CF1,_SE23mOcdEeet0YmmfbMwkw,Reputation Service,69.69989361,RestartComponent,69.69989361,8.2,7
5,CF1,_SE23gucdEeet0YmmfbMwkw,Item Management Service,65.3237349,RestartComponent,65.3237349,8.2,7,5,CF1,_SE23gucdEeet0YmmfbMwkw,Item Management Service,65.3237349,RestartComponent,65.3237349,8.2,7
6,CF1,_SEz0QOcdEeet0YmmfbMwkw,Item Management Service,48.51166737,RestartComponent,48.51166737,8.2,7,6,CF1,_SE23vucdEeet0YmmfbMwkw,Seller Reputation Item Filter,49.93589974,RestartComponent,49.93589974,8.2,7
7,CF1,_SE23vucdEeet0YmmfbMwkw,Seller Reputation Item Filter,49.93589974,RestartComponent,49.93589974,8.2,7,7,CF1,_SEz0QOcdEeet0YmmfbMwkw,Item Management Service,48.51166737,RestartComponent,48.51166737,8.2,7
1,CF2,_SEuUbecdEeet0YmmfbMwkw,Availability Item Filter,101.3379421,RestartComponent,101.3379421,9.2,6,1,CF2,_SEuUbecdEeet0YmmfbMwkw,Availability Item Filter,101.3379421,RestartComponent,101.3379421,9.2,6
2,CF1,_SEzNFecdEeet0YmmfbMwkw,Query Service,87.78566586,RestartComponent,87.78566586,9.2,6,2,CF1,_SEuUd-cdEeet0YmmfbMwkw,Seller Reputation Item Filter,97.26546123,RestartComponent,97.26546123,9.2,6
3,CF1,_SEuUd-cdEeet0YmmfbMwkw,Seller Reputation Item Filter,97.26546123,RestartComponent,97.26546123,9.2,6,3,CF1,_SEzNFecdEeet0YmmfbMwkw,Query Service,87.78566586,RestartComponent,87.78566586,9.2,6
4,CF2,_SEz0QOcdEeet0YmmfbMwkw,Item Management Service,48.51166737,RestartComponent,48.51166737,9.2,6,4,CF2,_SEz0QOcdEeet0YmmfbMwkw,Item Management Service,48.51166737,RestartComponent,48.51166737,9.2,6
5,CF2,_SEz0d-cdEeet0YmmfbMwkw,Region Item Filter,23.54250049,RestartComponent,23.54250049,9.2,6,5,CF2,_SEz0d-cdEeet0YmmfbMwkw,Region Item Filter,23.54250049,RestartComponent,23.54250049,9.2,6
6,CF1,_SEzz3OcdEeet0YmmfbMwkw,Seller Reputation Item Filter,4.629150714,RestartComponent,4.629150714,9.2,6,6,CF1,_SEzz3OcdEeet0YmmfbMwkw,Seller Reputation Item Filter,4.629150714,RestartComponent,4.629150714,9.2,6
1,CF1,_SE1CkucdEeet0YmmfbMwkw,Authentication Service,652.3011004,ReplaceComponent,691.5011004,10.2,3,1,CF1,_SE0bNecdEeet0YmmfbMwkw,Authentication Service,654.1662674,ReplaceComponent,693.3662674,10.2,3
2,CF1,_SE0bNecdEeet0YmmfbMwkw,Authentication Service,654.1662674,ReplaceComponent,693.3662674,10.2,3,2,CF1,_SE1CkucdEeet0YmmfbMwkw,Authentication Service,652.3011004,ReplaceComponent,691.5011004,10.2,3
3,CF3,_SE1B8ucdEeet0YmmfbMwkw,Authentication Service,511.8523157,HwRedeployComponent,511.8523157,10.2,3,3,CF3,_SE1B8ucdEeet0YmmfbMwkw,Authentication Service,511.8523157,ReplaceComponent,542.6523157,10.2,3
1,CF1,_SE3ehucdEeet0YmmfbMwkw,Query Service,616.3423945,RestartComponent,616.3423945,11.2,9,1,CF1,_SE3ehucdEeet0YmmfbMwkw,Query Service,616.3423945,RestartComponent,616.3423945,11.2,9
2,CF1,_SE23oOcdEeet0YmmfbMwkw,Query Service,345.8654144,RestartComponent,345.8654144,11.2,9,2,CF1,_SE2Qd-cdEeet0YmmfbMwkw,Query Service,346.8363451,RestartComponent,346.8363451,11.2,9
3,CF1,_SE2Qd-cdEeet0YmmfbMwkw,Query Service,346.8363451,RestartComponent,346.8363451,11.2,9,3,CF1,_SE23oOcdEeet0YmmfbMwkw,Query Service,345.8654144,RestartComponent,345.8654144,11.2,9
4,CF3,_SE3eaOcdEeet0YmmfbMwkw,Item Management Service,128.6976771,HwRedeployComponent,128.6976771,11.2,9,4,CF3,_SE3eaOcdEeet0YmmfbMwkw,Item Management Service,128.6976771,HwRedeployComponent,128.6976771,11.2,9
5,CF3,_SE3epOcdEeet0YmmfbMwkw,Seller Reputation Item Filter,100.3614023,HwRedeployComponent,100.3614023,11.2,9,5,CF3,_SE3epOcdEeet0YmmfbMwkw,Seller Reputation Item Filter,100.3614023,HwRedeployComponent,100.3614023,11.2,9
6,CF3,_SE23gucdEeet0YmmfbMwkw,Item Management Service,65.3237349,HwRedeployComponent,65.3237349,11.2,9,6,CF3,_SE2QWecdEeet0YmmfbMwkw,Item Management Service,65.44639765,HwRedeployComponent,65.44639765,11.2,9
7,CF3,_SE2QWecdEeet0YmmfbMwkw,Item Management Service,65.44639765,HwRedeployComponent,65.44639765,11.2,9,7,CF3,_SE23gucdEeet0YmmfbMwkw,Item Management Service,65.3237349,HwRedeployComponent,65.3237349,11.2,9
8,CF3,_SE23HucdEeet0YmmfbMwkw,Seller Reputation Item Filter,53.41419709,HwRedeployComponent,53.41419709,11.2,9,8,CF3,_SE23HucdEeet0YmmfbMwkw,Seller Reputation Item Filter,53.41419709,HwRedeployComponent,53.41419709,11.2,9
9,CF3,_SE23vucdEeet0YmmfbMwkw,Seller Reputation Item Filter,49.93589974,HwRedeployComponent,49.93589974,11.2,9,9,CF3,_SE23vucdEeet0YmmfbMwkw,Seller Reputation Item Filter,49.93589974,HwRedeployComponent,49.93589974,11.2,9
1,CF2,_SE4FWecdEeet0YmmfbMwkw,Query Service,1173.380715,RestartComponent,1173.380715,12.2,12,1,CF2,_SE4FWecdEeet0YmmfbMwkw,Query Service,1173.380715,RestartComponent,1173.380715,12.2,12
2,CF2,_SE4F5ecdEeet0YmmfbMwkw,Bid and Buy Service,379.4527225,RestartComponent,379.4527225,12.2,12,2,CF2,_SE4F5ecdEeet0YmmfbMwkw,Bid and Buy Service,379.4527225,RestartComponent,379.4527225,12.2,12
3,CF2,_SE1B9ecdEeet0YmmfbMwkw,Bid and Buy Service,316.007146,RestartComponent,316.007146,12.2,12,3,CF2,_SE1B9ecdEeet0YmmfbMwkw,Bid and Buy Service,316.007146,RestartComponent,316.007146,12.2,12
4,CF1,_SE23iecdEeet0YmmfbMwkw,Authentication Service,226.1504196,ReplaceComponent,240.1504196,12.2,12,4,CF1,_SE23iecdEeet0YmmfbMwkw,Authentication Service,226.1504196,ReplaceComponent,240.1504196,12.2,12
5,CF2,_SE4FUecdEeet0YmmfbMwkw,Reputation Service,229.9580226,RestartComponent,229.9580226,12.2,12,5,CF2,_SE4FUecdEeet0YmmfbMwkw,Reputation Service,229.9580226,RestartComponent,229.9580226,12.2,12
6,CF2,_SEyloOcdEeet0YmmfbMwkw,Seller Reputation Item Filter,149.721695,RestartComponent,149.721695,12.2,12,6,CF2,_SEyloOcdEeet0YmmfbMwkw,Seller Reputation Item Filter,149.721695,RestartComponent,149.721695,12.2,12
7,CF1,_SE3ehOcdEeet0YmmfbMwkw,Persistence Service,132.2684234,RestartComponent,132.2684234,12.2,12,7,CF1,_SE3ehOcdEeet0YmmfbMwkw,Persistence Service,132.2684234,RestartComponent,132.2684234,12.2,12
8,CF1,_SE3eiucdEeet0YmmfbMwkw,Last Second Sales Item Filter,127.8164868,RestartComponent,127.8164868,12.2,12,8,CF1,_SE3eiucdEeet0YmmfbMwkw,Last Second Sales Item Filter,127.8164868,RestartComponent,127.8164868,12.2,12
9,CF1,_SE23lOcdEeet0YmmfbMwkw,Inventory Service,97.36696429,RestartComponent,97.36696429,12.2,12,9,CF1,_SE23lOcdEeet0YmmfbMwkw,Inventory Service,97.36696429,RestartComponent,97.36696429,12.2,12
10,CF2,_SE3equcdEeet0YmmfbMwkw,Comment Item Filter,83.1491235,RestartComponent,83.1491235,12.2,12,10,CF2,_SE3equcdEeet0YmmfbMwkw,Comment Item Filter,83.1491235,RestartComponent,83.1491235,12.2,12
11,CF2,_SExYNOcdEeet0YmmfbMwkw,Bid and Buy Service,75.32432656,RestartComponent,75.32432656,12.2,12,11,CF2,_SExYNOcdEeet0YmmfbMwkw,Bid and Buy Service,75.32432656,RestartComponent,75.32432656,12.2,12
12,CF2,_SEx-rucdEeet0YmmfbMwkw,Region Item Filter,25.49259675,RestartComponent,25.49259675,12.2,12,12,CF2,_SEx-rucdEeet0YmmfbMwkw,Region Item Filter,25.49259675,RestartComponent,25.49259675,12.2,12
1,CF2,_SE4sVecdEeet0YmmfbMwkw,Comment Item Filter,167.9431301,RestartComponent,167.9431301,13.2,8,1,CF2,_SE4sVecdEeet0YmmfbMwkw,Comment Item Filter,167.9431301,RestartComponent,167.9431301,13.2,8
2,CF1,_SE56qecdEeet0YmmfbMwkw,Last Second Sales Item Filter,146.0264901,RestartComponent,146.0264901,13.2,8,2,CF1,_SE56qecdEeet0YmmfbMwkw,Last Second Sales Item Filter,146.0264901,RestartComponent,146.0264901,13.2,8
3,CF1,_SE4sz-cdEeet0YmmfbMwkw,Persistence Service,127.0187666,RestartComponent,127.0187666,13.2,8,3,CF1,_SE4sz-cdEeet0YmmfbMwkw,Persistence Service,127.0187666,RestartComponent,127.0187666,13.2,8
4,CF2,_SE56w-cdEeet0YmmfbMwkw,Seller Reputation Item Filter,113.6525686,RestartComponent,113.6525686,13.2,8,4,CF1,_SE4GA-cdEeet0YmmfbMwkw,Past Sales Item Filter,118.9717392,RestartComponent,118.9717392,13.2,8
5,CF1,_SE4GA-cdEeet0YmmfbMwkw,Past Sales Item Filter,118.9717392,RestartComponent,118.9717392,13.2,8,5,CF2,_SE56w-cdEeet0YmmfbMwkw,Seller Reputation Item Filter,113.6525686,RestartComponent,113.6525686,13.2,8
6,CF2,_SE4s9ecdEeet0YmmfbMwkw,Comment Item Filter,98.26580308,RestartComponent,98.26580308,13.2,8,6,CF2,_SE4s9ecdEeet0YmmfbMwkw,Comment Item Filter,98.26580308,RestartComponent,98.26580308,13.2,8
7,CF1,_SE5TtucdEeet0YmmfbMwkw,Persistence Service,57.21016951,RestartComponent,57.21016951,13.2,8,7,CF1,_SE5TtucdEeet0YmmfbMwkw,Persistence Service,57.21016951,RestartComponent,57.21016951,13.2,8
8,CF2,_SE5T3OcdEeet0YmmfbMwkw,Comment Item Filter,43.29143977,RestartComponent,43.29143977,13.2,8,8,CF2,_SE5T3OcdEeet0YmmfbMwkw,Comment Item Filter,43.29143977,RestartComponent,43.29143977,13.2,8
1,CF3,_SE8W5OcdEeet0YmmfbMwkw,Authentication Service,699.5481832,ReplaceComponent,741.5481832,14.2,17,1,CF3,_SE8W5OcdEeet0YmmfbMwkw,Authentication Service,699.5481832,ReplaceComponent,741.5481832,14.2,17
2,CF1,_SE57J-cdEeet0YmmfbMwkw,Item Management Service,269.5055256,RestartComponent,269.5055256,14.2,17,2,CF3,_SE57PecdEeet0YmmfbMwkw,Reputation Service,269.6578243,HwRedeployComponent,269.6578243,14.2,17
