,Optimal_Affected_Component,Optimal_Affected_Component_Uid,Optimal_Failure,raw,cube,sqt,log10,ln,log2
19,Past Sales Item Filter,_SE-Mo-cdEeet0YmmfbMwkw,CF2,762.2085,27.6081,27.6081,2.8821,6.6362,9.574
20,Inventory Service,_SFApHecdEeet0YmmfbMwkw,CF3,3519.8565,59.3284,59.3284,3.5465,8.1662,11.7813
21,Authentication Service,_SFACCecdEeet0YmmfbMwkw,CF3,3588.8036,59.9066,59.9066,3.5549,8.1856,11.8093
22,Past Sales Item Filter,_SFCeYOcdEeet0YmmfbMwkw,CF5,851.8189,29.1859,29.1859,2.9303,6.7474,9.7344
23,Availability Item Filter,_SFDFiecdEeet0YmmfbMwkw,CF5,800.1432,28.2868,28.2868,2.9032,6.6848,9.6441
24,Availability Item Filter,_SE-z7OcdEeet0YmmfbMwkw,CF2,529.8842,23.0192,23.0192,2.7242,6.2727,9.0495
25,Item Management Service,_SFABYucdEeet0YmmfbMwkw,CF3,1775.0471,42.1313,42.1313,3.2492,7.4816,10.7936
26,Last Second Sales Item Filter,_SFCduucdEeet0YmmfbMwkw,CF5,430.45,20.7473,20.7473,2.6339,6.0648,8.7497
27,Authentication Service,_SE7wCucdEeet0YmmfbMwkw,CF1,1272.5653,35.673,35.673,3.1047,7.1488,10.3135
28,Bid and Buy Service,_SFAodecdEeet0YmmfbMwkw,CF3,1137.4489,33.7261,33.7261,3.0559,7.0365,10.1516
29,Reputation Service,_SFBPgOcdEeet0YmmfbMwkw,CF3,550.7421,23.4679,23.4679,2.7409,6.3113,9.1052
30,Query Service,_SFGIEOcdEeet0YmmfbMwkw,CF1,6954.5178,83.3938,83.3938,3.8423,8.8471,12.7637
31,Inventory Service,_SFKZLecdEeet0YmmfbMwkw,CF2,4930.7206,70.2191,70.2191,3.6929,8.5032,12.2676
32,Buy Now Item Filter,_SFGviOcdEeet0YmmfbMwkw,CF1,3881.4592,62.3014,62.3014,3.589,8.264,11.9224
33,User Management Service,_SFJK8ecdEeet0YmmfbMwkw,CF2,3516.2048,59.2976,59.2976,3.5461,8.1651,11.7798
34,Persistence Service,_SFKad-cdEeet0YmmfbMwkw,CF2,3338.9842,57.7839,57.7839,3.5236,8.1134,11.7052
35,Query Service,_SFS8fOcdEeet0YmmfbMwkw,CF5,4518.0461,67.2164,67.2164,3.655,8.4158,12.1415
36,Bid and Buy Service,_SFE52ucdEeet0YmmfbMwkw,CF1,2982.7452,54.6145,54.6145,3.4746,8.0006,11.5424
37,Inventory Service,_SFE6gucdEeet0YmmfbMwkw,CF1,2809.3912,53.0037,53.0037,3.4486,7.9407,11.456
38,Reputation Service,_SFKZ0ecdEeet0YmmfbMwkw,CF2,2795.4277,52.8718,52.8718,3.4464,7.9357,11.4489
39,Last Second Sales Item Filter,_SFLBKecdEeet0YmmfbMwkw,CF2,2695.6733,51.9199,51.9199,3.4307,7.8994,11.3964
40,Last Second Sales Item Filter,_SFGItOcdEeet0YmmfbMwkw,CF1,2694.3782,51.9074,51.9074,3.4305,7.8989,11.3957
41,Persistence Service,_SFFhxOcdEeet0YmmfbMwkw,CF1,2564.0908,50.6369,50.6369,3.4089,7.8494,11.3242
42,User Management Service,_SFOqv-cdEeet0YmmfbMwkw,CF5,3551.5846,59.5952,59.5952,3.5504,8.1751,11.7942
43,Reputation Service,_SFSWQecdEeet0YmmfbMwkw,CF5,3392.5913,58.246,58.246,3.5305,8.1293,11.7282
44,Query Service,_SFLAhecdEeet0YmmfbMwkw,CF2,2309.634,48.0587,48.0587,3.3635,7.7448,11.1734
45,Reputation Service,_SFFhHucdEeet0YmmfbMwkw,CF1,2229.5254,47.2179,47.2179,3.3482,7.7095,11.1225
46,Past Sales Item Filter,_SFGu4-cdEeet0YmmfbMwkw,CF1,1732.3961,41.6221,41.6221,3.2386,7.4573,10.7586
47,Past Sales Item Filter,_SFLBz-cdEeet0YmmfbMwkw,CF2,1538.345,39.2217,39.2217,3.1871,7.3385,10.5872
48,Bid and Buy Service,_SFJzVecdEeet0YmmfbMwkw,CF2,1372.0781,37.0416,37.0416,3.1374,7.2241,10.4221
49,Item Management Service,_SFOraecdEeet0YmmfbMwkw,CF5,1557.0583,39.4596,39.4596,3.1923,7.3506,10.6046
50,Query Service,_SFNdBOcdEeet0YmmfbMwkw,CF3,5794.1679,76.1194,76.1194,3.763,8.6646,12.5004
51,Inventory Service,_SFSVnecdEeet0YmmfbMwkw,CF5,1283.4579,35.8254,35.8254,3.1084,7.1573,10.3258
52,Item Management Service,_SFJyC-cdEeet0YmmfbMwkw,CF2,881.506,29.6902,29.6902,2.9452,6.7816,9.7838
53,Last Second Sales Item Filter,_SFS9IOcdEeet0YmmfbMwkw,CF5,1163.6394,34.1122,34.1122,3.0658,7.0593,10.1844
54,Reputation Service,_SFM2W-cdEeet0YmmfbMwkw,CF3,3915.5033,62.574,62.574,3.5928,8.2727,11.935
55,Buy Now Item Filter,_SFLnaOcdEeet0YmmfbMwkw,CF2,767.8042,27.7093,27.7093,2.8853,6.6435,9.5846
56,Availability Item Filter,_SFOExucdEeet0YmmfbMwkw,CF5,945.3975,30.7473,30.7473,2.9756,6.8516,9.8848
57,Authentication Service,_SFJysucdEeet0YmmfbMwkw,CF2,3590.356,59.9196,59.9196,3.5551,8.186,11.8099
58,Buy Now Item Filter,_SFTjDOcdEeet0YmmfbMwkw,CF5,877.4654,29.622,29.622,2.9432,6.777,9.7772
59,Item Management Service,_SFDs_-cdEeet0YmmfbMwkw,CF1,584.767,24.182,24.182,2.767,6.3712,9.1917
60,Inventory Service,_SFM1t-cdEeet0YmmfbMwkw,CF3,2456.1303,49.5594,49.5594,3.3903,7.8063,11.2622
61,Past Sales Item Filter,_SFS9xucdEeet0YmmfbMwkw,CF5,681.7264,26.1099,26.1099,2.8336,6.5246,9.413
62,Item Management Service,_SFMOz-cdEeet0YmmfbMwkw,CF3,2219.5765,47.1124,47.1124,3.3463,7.7051,11.1161
63,Authentication Service,_SFOsEOcdEeet0YmmfbMwkw,CF5,619.5917,24.8916,24.8916,2.7921,6.4291,9.2752
64,Bid and Buy Service,_SFMQGecdEeet0YmmfbMwkw,CF3,2059.2043,45.3785,45.3785,3.3137,7.6301,11.0079
65,Persistence Service,_SFNcYucdEeet0YmmfbMwkw,CF3,2050.6993,45.2846,45.2846,3.3119,7.6259,11.0019
66,Availability Item Filter,_SEtGLecdEeet0YmmfbMwkw,CF5,578.6973,24.0561,24.0561,2.7625,6.3608,9.1767
67,Region Item Filter,_SFHV7OcdEeet0YmmfbMwkw,CF1,399.9806,19.9995,19.9995,2.602,5.9914,8.6438
68,Buy Now Item Filter,_SFOEIecdEeet0YmmfbMwkw,CF3,1802.7877,42.4592,42.4592,3.2559,7.4971,10.816
69,Region Item Filter,_SFOFa-cdEeet0YmmfbMwkw,CF5,480.551,21.9215,21.9215,2.6817,6.1749,8.9085
70,User Management Service,_SFLpEecdEeet0YmmfbMwkw,CF3,1396.6824,37.3722,37.3722,3.1451,7.2419,10.4478
71,Authentication Service,_SFETBucdEeet0YmmfbMwkw,CF1,1531.82,39.1385,39.1385,3.1852,7.3342,10.581
72,Bid and Buy Service,_SFSU9ecdEeet0YmmfbMwkw,CF5,398.8858,19.9721,19.9721,2.6008,5.9887,8.6398
73,Persistence Service,_SFSW5-cdEeet0YmmfbMwkw,CF5,397.2412,19.9309,19.9309,2.5991,5.9845,8.6339
74,Past Sales Item Filter,_SFODfOcdEeet0YmmfbMwkw,CF3,958.5764,30.9609,30.9609,2.9816,6.8654,9.9047
75,Last Second Sales Item Filter,_SFNdqOcdEeet0YmmfbMwkw,CF3,953.201,30.874,30.874,2.9792,6.8598,9.8966
76,Region Item Filter,_SFLosucdEeet0YmmfbMwkw,CF3,607.658,24.6507,24.6507,2.7837,6.4096,9.2471
77,Availability Item Filter,_SFLoDecdEeet0YmmfbMwkw,CF2,77.8931,8.8257,8.8257,1.8915,4.3553,6.2834
78,Availability Item Filter,_SFGwLecdEeet0YmmfbMwkw,CF1,75.7619,8.7041,8.7041,1.8795,4.3276,6.2434
79,Authentication Service,_SFMPducdEeet0YmmfbMwkw,CF3,242.9396,15.5865,15.5865,2.3855,5.4928,7.9245
80,Buy Now Item Filter,_SEx-pOcdEeet0YmmfbMwkw,CF2,764.725,27.6537,27.6537,2.8835,6.6395,9.5788
81,Buy Now Item Filter,_SEx_ROcdEeet0YmmfbMwkw,CF3,2212.4477,47.0367,47.0367,3.3449,7.7019,11.1114
82,Last Second Sales Item Filter,_SExXrOcdEeet0YmmfbMwkw,CF1,178.6487,13.366,13.366,2.252,5.1854,7.481
83,Availability Item Filter,_SEymNucdEeet0YmmfbMwkw,CF5,211.3097,14.5365,14.5365,2.3249,5.3533,7.7232
84,Region Item Filter,_SEzz1-cdEeet0YmmfbMwkw,CF5,149.4998,12.227,12.227,2.1746,5.0073,7.224
85,Query Service,_SE9lfucdEeet0YmmfbMwkw,CF1,17401.0081,131.9129,131.9129,4.2406,9.7643,14.0869
86,Bid and Buy Service,_SE8W5-cdEeet0YmmfbMwkw,CF1,3443.939,58.6851,58.6851,3.5371,8.1444,11.7498
87,Region Item Filter,_SE_adecdEeet0YmmfbMwkw,CF2,2462.1357,49.6199,49.6199,3.3913,7.8088,11.2657
88,Inventory Service,_SE8Xj-cdEeet0YmmfbMwkw,CF1,2456.3035,49.5611,49.5611,3.3903,7.8064,11.2623
89,Buy Now Item Filter,_SE-zR-cdEeet0YmmfbMwkw,CF2,2062.4626,45.4143,45.4143,3.3144,7.6317,11.0102
90,Item Management Service,_SE_a3ucdEeet0YmmfbMwkw,CF2,1921.1245,43.8306,43.8306,3.2836,7.5607,10.9077
91,Query Service,_SFB3SOcdEeet0YmmfbMwkw,CF5,2730.4365,52.2536,52.2536,3.4362,7.9122,11.4149
92,Last Second Sales Item Filter,_SE-L_ecdEeet0YmmfbMwkw,CF2,1727.5804,41.5642,41.5642,3.2374,7.4545,10.7545
93,Persistence Service,_SE9k3OcdEeet0YmmfbMwkw,CF1,1532.298,39.1446,39.1446,3.1853,7.3345,10.5815
94,Region Item Filter,_SFDr9ucdEeet0YmmfbMwkw,CF5,1970.386,44.389,44.389,3.2946,7.586,10.9443
95,User Management Service,_SFDsVecdEeet0YmmfbMwkw,CF5,1768.8686,42.0579,42.0579,3.2477,7.4781,10.7886
96,Bid and Buy Service,_SE7wDecdEeet0YmmfbMwkw,CF1,1141.1934,33.7816,33.7816,3.0574,7.0398,10.1563
97,Reputation Service,_SE8-M-cdEeet0YmmfbMwkw,CF1,1109.8458,33.3143,33.3143,3.0453,7.012,10.1161
98,Buy Now Item Filter,_SFDE5OcdEeet0YmmfbMwkw,CF5,1108.6896,33.297,33.297,3.0448,7.0109,10.1146
99,Past Sales Item Filter,_SE-Mo-cdEeet0YmmfbMwkw,CF2,762.2085,27.6081,27.6081,2.8821,6.6362,9.574
100,Authentication Service,_SFABaecdEeet0YmmfbMwkw,CF3,3847.7753,62.0304,62.0304,3.5852,8.2553,11.9098
101,Bid and Buy Service,_SFACDOcdEeet0YmmfbMwkw,CF3,3211.7778,56.6725,56.6725,3.5067,8.0746,11.6492
102,Past Sales Item Filter,_SFCeYOcdEeet0YmmfbMwkw,CF5,859.5508,29.3181,29.3181,2.9343,6.7564,9.7474
103,Persistence Service,_SFB2pucdEeet0YmmfbMwkw,CF3,2854.3589,53.4262,53.4262,3.4555,7.9566,11.479
104,Reputation Service,_SFApIecdEeet0YmmfbMwkw,CF3,2794.3351,52.8615,52.8615,3.4463,7.9353,11.4483
105,Availability Item Filter,_SFDFiecdEeet0YmmfbMwkw,CF5,807.6996,28.4201,28.4201,2.9072,6.6942,9.6577
106,Availability Item Filter,_SE-z7OcdEeet0YmmfbMwkw,CF2,529.8842,23.0192,23.0192,2.7242,6.2727,9.0495
107,Inventory Service,_SFAofecdEeet0YmmfbMwkw,CF3,1754.181,41.8829,41.8829,3.2441,7.4698,10.7766
108,Last Second Sales Item Filter,_SFCduucdEeet0YmmfbMwkw,CF5,434.7406,20.8504,20.8504,2.6382,6.0747,8.764
109,Persistence Service,_SFBPhucdEeet0YmmfbMwkw,CF3,608.177,24.6612,24.6612,2.784,6.4105,9.2483
110,Query Service,_SFGIEOcdEeet0YmmfbMwkw,CF1,6954.5178,83.3938,83.3938,3.8423,8.8471,12.7637
111,Inventory Service,_SFKZLecdEeet0YmmfbMwkw,CF2,4930.7206,70.2191,70.2191,3.6929,8.5032,12.2676
112,Buy Now Item Filter,_SFGviOcdEeet0YmmfbMwkw,CF1,3881.4592,62.3014,62.3014,3.589,8.264,11.9224
113,User Management Service,_SFJK8ecdEeet0YmmfbMwkw,CF1,3516.2048,59.2976,59.2976,3.5461,8.1651,11.7798
114,Persistence Service,_SFKad-cdEeet0YmmfbMwkw,CF2,3338.9842,57.7839,57.7839,3.5236,8.1134,11.7052
115,Bid and Buy Service,_SFJytecdEeet0YmmfbMwkw,CF2,3213.5781,56.6884,56.6884,3.507,8.0751,11.65
116,Query Service,_SFS8fOcdEeet0YmmfbMwkw,CF5,4560.5825,67.5321,67.5321,3.659,8.4252,12.155
117,Bid and Buy Service,_SFE52ucdEeet0YmmfbMwkw,CF1,2982.7452,54.6145,54.6145,3.4746,8.0006,11.5424
118,Inventory Service,_SFE6gucdEeet0YmmfbMwkw,CF1,2809.3912,53.0037,53.0037,3.4486,7.9407,11.456
119,Reputation Service,_SFKZ0ecdEeet0YmmfbMwkw,CF2,2795.4277,52.8718,52.8718,3.4464,7.9357,11.4489
120,Last Second Sales Item Filter,_SFLBKecdEeet0YmmfbMwkw,CF2,2695.6733,51.9199,51.9199,3.4307,7.8994,11.3964
121,Last Second Sales Item Filter,_SFGItOcdEeet0YmmfbMwkw,CF1,2694.3782,51.9074,51.9074,3.4305,7.8989,11.3957
122,Persistence Service,_SFFhxOcdEeet0YmmfbMwkw,CF1,2564.0908,50.6369,50.6369,3.4089,7.8494,11.3242
123,User Management Service,_SFOqv-cdEeet0YmmfbMwkw,CF5,3585.1149,59.8758,59.8758,3.5545,8.1845,11.8078
124,Reputation Service,_SFSWQecdEeet0YmmfbMwkw,CF5,3423.8503,58.5137,58.5137,3.5345,8.1385,11.7414
125,Query Service,_SFLAhecdEeet0YmmfbMwkw,CF2,2309.634,48.0587,48.0587,3.3635,7.7448,11.1734
126,Reputation Service,_SFFhHucdEeet0YmmfbMwkw,CF1,2229.5254,47.2179,47.2179,3.3482,7.7095,11.1225
127,Past Sales Item Filter,_SFGu4-cdEeet0YmmfbMwkw,CF1,1732.3961,41.6221,41.6221,3.2386,7.4573,10.7586
128,Query Service,_SFNcZOcdEeet0YmmfbMwkw,CF3,9273.2297,96.2976,96.2976,3.9672,9.1349,13.1789
129,Past Sales Item Filter,_SFLBz-cdEeet0YmmfbMwkw,CF2,1538.345,39.2217,39.2217,3.1871,7.3385,10.5872
130,Bid and Buy Service,_SFJzVecdEeet0YmmfbMwkw,CF2,1372.0781,37.0416,37.0416,3.1374,7.2241,10.4221
131,Bid and Buy Service,_SFETCecdEeet0YmmfbMwkw,CF1,1368.3069,36.9906,36.9906,3.1362,7.2213,10.4182
132,Item Management Service,_SFOraecdEeet0YmmfbMwkw,CF5,1571.7994,39.6459,39.6459,3.1964,7.36,10.6182
133,Inventory Service,_SFSVnecdEeet0YmmfbMwkw,CF5,1295.8255,35.9976,35.9976,3.1125,7.1669,10.3397
134,Item Management Service,_SFJyC-cdEeet0YmmfbMwkw,CF2,881.506,29.6902,29.6902,2.9452,6.7816,9.7838
135,Authentication Service,_SFMO1ucdEeet0YmmfbMwkw,CF3,4812.2181,69.3702,69.3702,3.6823,8.4789,12.2325
136,Persistence Service,_SFM2YecdEeet0YmmfbMwkw,CF3,4320.3341,65.7292,65.7292,3.6355,8.3711,12.0769
137,Seller Reputation Item Filter,_SFLot-cdEeet0YmmfbMwkw,CF2,842.9705,29.034,29.034,2.9258,6.7369,9.7193
138,Last Second Sales Item Filter,_SFS9IOcdEeet0YmmfbMwkw,CF5,1175.081,34.2795,34.2795,3.0701,7.0691,10.1985
139,Region Item Filter,_SEuUcucdEeet0YmmfbMwkw,CF5,1136.2132,33.7078,33.7078,3.0555,7.0355,10.15
140,Buy Now Item Filter,_SFLnaOcdEeet0YmmfbMwkw,CF2,767.8042,27.7093,27.7093,2.8853,6.6435,9.5846
141,Inventory Service,_SFMQIecdEeet0YmmfbMwkw,CF3,3163.7158,56.2469,56.2469,3.5002,8.0595,11.6274
142,Buy Now Item Filter,_SFTjDOcdEeet0YmmfbMwkw,CF5,885.8574,29.7634,29.7634,2.9474,6.7866,9.7909
143,Past Sales Item Filter,_SFS9xucdEeet0YmmfbMwkw,CF5,687.9119,26.2281,26.2281,2.8375,6.5337,9.4261
144,Authentication Service,_SFOsEOcdEeet0YmmfbMwkw,CF5,625.4832,25.0097,25.0097,2.7962,6.4385,9.2888
145,Availability Item Filter,_SEtGLecdEeet0YmmfbMwkw,CF5,584.1928,24.1701,24.1701,2.7666,6.3702,9.1903
146,Reputation Service,_SFM1u-cdEeet0YmmfbMwkw,CF3,1951.4518,44.1752,44.1752,3.2904,7.5763,10.9303
147,Region Item Filter,_SFHV7OcdEeet0YmmfbMwkw,CF1,399.9806,19.9995,19.9995,2.602,5.9914,8.6438
148,Region Item Filter,_SFOFa-cdEeet0YmmfbMwkw,CF5,485.1299,22.0257,22.0257,2.6859,6.1844,8.9222
149,Bid and Buy Service,_SFSU9ecdEeet0YmmfbMwkw,CF5,402.5483,20.0636,20.0636,2.6048,5.9978,8.653
150,Persistence Service,_SFSW5-cdEeet0YmmfbMwkw,CF5,401.0641,20.0266,20.0266,2.6032,5.9941,8.6477
151,Buy Now Item Filter,_SFODgecdEeet0YmmfbMwkw,CF3,1285.6107,35.8554,35.8554,3.1091,7.159,10.3282
152,Availability Item Filter,_SFOExucdEeet0YmmfbMwkw,CF3,945.3975,30.7473,30.7473,2.9756,6.8516,9.8848
153,Past Sales Item Filter,_SFNdrucdEeet0YmmfbMwkw,CF3,958.5271,30.9601,30.9601,2.9816,6.8654,9.9047
154,Last Second Sales Item Filter,_SFNdCOcdEeet0YmmfbMwkw,CF3,956.4154,30.926,30.926,2.9806,6.8632,9.9015
155,Availability Item Filter,_SFOEJucdEeet0YmmfbMwkw,CF3,619.1272,24.8823,24.8823,2.7918,6.4283,9.2741
156,Item Management Service,_SFLpG-cdEeet0YmmfbMwkw,CF3,583.5528,24.1568,24.1568,2.7661,6.3691,9.1887
157,Availability Item Filter,_SFLoDecdEeet0YmmfbMwkw,CF2,77.8931,8.8257,8.8257,1.8915,4.3553,6.2834
158,Availability Item Filter,_SFGwLecdEeet0YmmfbMwkw,CF1,75.7619,8.7041,8.7041,1.8795,4.3276,6.2434
159,Bid and Buy Service,_SFMPeecdEeet0YmmfbMwkw,CF3,216.7021,14.7208,14.7208,2.3359,5.3785,7.7596
160,Availability Item Filter,_SEx_SecdEeet0YmmfbMwkw,CF2,891.0944,29.8512,29.8512,2.9499,6.7925,9.7994
161,Buy Now Item Filter,_SEx-pOcdEeet0YmmfbMwkw,CF1,764.725,27.6537,27.6537,2.8835,6.6395,9.5788
162,User Management Service,_SEz0NucdEeet0YmmfbMwkw,CF5,879.8918,29.663,29.663,2.9444,6.7798,9.7812
163,Region Item Filter,_SEzz1-cdEeet0YmmfbMwkw,CF5,151.0261,12.2893,12.2893,2.1791,5.0175,7.2387
164,Availability Item Filter,_SEymNucdEeet0YmmfbMwkw,CF3,211.3097,14.5365,14.5365,2.3249,5.3533,7.7232
165,Query Service,_SE9lfucdEeet0YmmfbMwkw,CF1,17401.0081,131.9129,131.9129,4.2406,9.7643,14.0869
166,Bid and Buy Service,_SE8W5-cdEeet0YmmfbMwkw,CF1,3443.939,58.6851,58.6851,3.5371,8.1444,11.7498
167,Query Service,_SFB2qOcdEeet0YmmfbMwkw,CF3,16241.4313,127.4419,127.4419,4.2106,9.6953,13.9874
168,Bid and Buy Service,_SFABbOcdEeet0YmmfbMwkw,CF2,2753.9209,52.4778,52.4778,3.44,7.9208,11.4273
169,Region Item Filter,_SE_adecdEeet0YmmfbMwkw,CF2,2462.1357,49.6199,49.6199,3.3913,7.8088,11.2657
170,Inventory Service,_SE8Xj-cdEeet0YmmfbMwkw,CF1,2456.3035,49.5611,49.5611,3.3903,7.8064,11.2623
171,Buy Now Item Filter,_SE-zR-cdEeet0YmmfbMwkw,CF2,2062.4626,45.4143,45.4143,3.3144,7.6317,11.0102
172,Item Management Service,_SE_a3ucdEeet0YmmfbMwkw,CF2,1921.1245,43.8306,43.8306,3.2836,7.5607,10.9077
173,Last Second Sales Item Filter,_SE-L_ecdEeet0YmmfbMwkw,CF1,1727.5804,41.5642,41.5642,3.2374,7.4545,10.7545
174,Persistence Service,_SE9k3OcdEeet0YmmfbMwkw,CF1,1532.298,39.1446,39.1446,3.1853,7.3345,10.5815
175,Region Item Filter,_SFDr9ucdEeet0YmmfbMwkw,CF5,1988.1094,44.5882,44.5882,3.2984,7.5949,10.9572
176,User Management Service,_SFDsVecdEeet0YmmfbMwkw,CF5,1785.6337,42.2568,42.2568,3.2518,7.4875,10.8022
177,Reputation Service,_SE8-M-cdEeet0YmmfbMwkw,CF1,1109.8458,33.3143,33.3143,3.0453,7.012,10.1161
178,Inventory Service,_SFACFOcdEeet0YmmfbMwkw,CF3,4929.1382,70.2078,70.2078,3.6928,8.5029,12.2671
179,Buy Now Item Filter,_SFDE5OcdEeet0YmmfbMwkw,CF5,1118.6272,33.4459,33.4459,3.0487,7.0199,10.1275
180,Past Sales Item Filter,_SE-Mo-cdEeet0YmmfbMwkw,CF2,762.2085,27.6081,27.6081,2.8821,6.6362,9.574
181,Persistence Service,_SFApJ-cdEeet0YmmfbMwkw,CF3,3598.1088,59.9842,59.9842,3.5561,8.1882,11.813
182,Past Sales Item Filter,_SFCeYOcdEeet0YmmfbMwkw,CF5,866.7293,29.4403,29.4403,2.9379,6.7647,9.7594
183,Availability Item Filter,_SFDFiecdEeet0YmmfbMwkw,CF5,814.9682,28.5476,28.5476,2.9111,6.7031,9.6706
184,Availability Item Filter,_SE-z7OcdEeet0YmmfbMwkw,CF2,529.8842,23.0192,23.0192,2.7242,6.2727,9.0495
185,Query Service,_SFB3SOcdEeet0YmmfbMwkw,CF3,2730.4365,52.2536,52.2536,3.4362,7.9122,11.4149
186,Query Service,_SFBPiOcdEeet0YmmfbMwkw,CF3,2775.2506,52.6806,52.6806,3.4433,7.9285,11.4384
187,Item Management Service,_SFDs_-cdEeet0YmmfbMwkw,CF5,471.4655,21.7133,21.7133,2.6734,6.1558,8.881
188,Last Second Sales Item Filter,_SFCduucdEeet0YmmfbMwkw,CF5,438.915,20.9503,20.9503,2.6424,6.0843,8.7778
189,Reputation Service,_SFAogecdEeet0YmmfbMwkw,CF3,1389.3971,37.2746,37.2746,3.1428,7.2366,10.4402
190,Query Service,_SFGIEOcdEeet0YmmfbMwkw,CF1,6954.5178,83.3938,83.3938,3.8423,8.8471,12.7637
191,Inventory Service,_SFKZLecdEeet0YmmfbMwkw,CF2,4930.7206,70.2191,70.2191,3.6929,8.5032,12.2676
192,Buy Now Item Filter,_SFGviOcdEeet0YmmfbMwkw,CF1,3881.4592,62.3014,62.3014,3.589,8.264,11.9224
193,User Management Service,_SFJK8ecdEeet0YmmfbMwkw,CF1,3516.2048,59.2976,59.2976,3.5461,8.1651,11.7798
194,Query Service,_SFM2Y-cdEeet0YmmfbMwkw,CF3,19490.222,139.6074,139.6074,4.2898,9.8777,14.2505
195,Persistence Service,_SFKad-cdEeet0YmmfbMwkw,CF2,3338.9842,57.7839,57.7839,3.5236,8.1134,11.7052
196,Query Service,_SFS8fOcdEeet0YmmfbMwkw,CF5,4601.8629,67.837,67.837,3.6629,8.4342,12.168
197,Bid and Buy Service,_SFJytecdEeet0YmmfbMwkw,CF2,3213.5781,56.6884,56.6884,3.507,8.0751,11.65
198,User Management Service,_SEu7eecdEeet0YmmfbMwkw,CF5,4443.3956,66.6588,66.6588,3.6477,8.3992,12.1174
199,Bid and Buy Service,_SFE52ucdEeet0YmmfbMwkw,CF1,2982.7452,54.6145,54.6145,3.4746,8.0006,11.5424
200,Inventory Service,_SFE6gucdEeet0YmmfbMwkw,CF1,2809.3912,53.0037,53.0037,3.4486,7.9407,11.456
201,Reputation Service,_SFKZ0ecdEeet0YmmfbMwkw,CF2,2795.4277,52.8718,52.8718,3.4464,7.9357,11.4489
202,Last Second Sales Item Filter,_SFLBKecdEeet0YmmfbMwkw,CF2,2695.6733,51.9199,51.9199,3.4307,7.8994,11.3964
203,Last Second Sales Item Filter,_SFGItOcdEeet0YmmfbMwkw,CF1,2694.3782,51.9074,51.9074,3.4305,7.8989,11.3957
204,Persistence Service,_SFFhxOcdEeet0YmmfbMwkw,CF1,2564.0908,50.6369,50.6369,3.4089,7.8494,11.3242
205,User Management Service,_SFOqv-cdEeet0YmmfbMwkw,CF5,3617.0887,60.1422,60.1422,3.5584,8.1934,11.8206
206,Reputation Service,_SFSWQecdEeet0YmmfbMwkw,CF5,3453.3521,58.7652,58.7652,3.5382,8.1471,11.7538
